"time","surv","nrisk","nevent","arm"
2.78165639972621,0.998357188770104,268574,0,"not linked"
2.78439425051335,0.998357188770104,268284,0,"not linked"
2.78713210130048,0.998357188770104,268028,0,"not linked"
2.78986995208761,0.998357188770104,267975,0,"not linked"
2.79260780287474,0.998357188770104,267837,0,"not linked"
2.79534565366188,0.998357188770104,267541,0,"not linked"
2.79808350444901,0.998357188770104,267176,0,"not linked"
2.80082135523614,0.998357188770104,266779,0,"not linked"
2.80355920602327,0.998357188770104,266406,0,"not linked"
2.8062970568104,0.998357188770104,266105,0,"not linked"
2.80903490759754,0.998353436154216,266043,1,"not linked"
2.81177275838467,0.998353436154216,265871,0,"not linked"
2.8145106091718,0.998353436154216,265636,0,"not linked"
2.81724845995893,0.998353436154216,265283,0,"not linked"
2.81998631074606,0.998353436154216,264927,0,"not linked"
2.8227241615332,0.998353436154216,264659,0,"not linked"
2.82546201232033,0.998353436154216,264397,0,"not linked"
2.82819986310746,0.998353436154216,264371,0,"not linked"
2.83093771389459,0.998349658004339,264244,1,"not linked"
2.83367556468172,0.998349658004339,263925,0,"not linked"
2.83641341546886,0.998349658004339,263551,0,"not linked"
2.83915126625599,0.998349658004339,263194,0,"not linked"
2.84188911704312,0.998349658004339,262907,0,"not linked"
2.84462696783025,0.998345857171121,262666,1,"not linked"
2.84736481861739,0.998345857171121,262619,0,"not linked"
2.85010266940452,0.998334446460917,262476,3,"not linked"
2.85284052019165,0.998330637899306,262129,1,"not linked"
2.85557837097878,0.998326824464119,261793,1,"not linked"
2.85831622176591,0.998326824464119,261475,0,"not linked"
2.86105407255305,0.998326824464119,261194,0,"not linked"
2.86379192334018,0.998326824464119,260951,0,"not linked"
2.86652977412731,0.998326824464119,260912,0,"not linked"
2.86926762491444,0.998322996538519,260801,1,"not linked"
2.87200547570157,0.998315333723794,260563,2,"not linked"
2.87474332648871,0.998315333723794,260181,0,"not linked"
2.87748117727584,0.998315333723794,259872,0,"not linked"
2.88021902806297,0.998315333723794,259624,0,"not linked"
2.8829568788501,0.998315333723794,259450,0,"not linked"
2.88569472963723,0.998311484040257,259324,1,"not linked"
2.88843258042437,0.998307631757067,259148,1,"not linked"
2.8911704312115,0.998307631757067,258887,0,"not linked"
2.89390828199863,0.998307631757067,258485,0,"not linked"
2.89664613278576,0.998307631757067,258122,0,"not linked"
2.8993839835729,0.998307631757067,257827,0,"not linked"
2.90212183436003,0.998307631757067,257576,0,"not linked"
2.90485968514716,0.998307631757067,257541,0,"not linked"
2.90759753593429,0.998307631757067,257379,0,"not linked"
2.91033538672142,0.998307631757067,257068,0,"not linked"
2.91307323750856,0.998307631757067,256697,0,"not linked"
2.91581108829569,0.998307631757067,256294,0,"not linked"
2.91854893908282,0.998307631757067,255993,0,"not linked"
2.92128678986995,0.998307631757067,255790,0,"not linked"
2.92402464065708,0.998307631757067,255763,0,"not linked"
2.92676249144422,0.998307631757067,255635,0,"not linked"
2.92950034223135,0.998307631757067,255330,0,"not linked"
2.93223819301848,0.998307631757067,254994,0,"not linked"
2.93497604380561,0.998307631757067,254678,0,"not linked"
2.93771389459274,0.998307631757067,254379,0,"not linked"
2.94045174537988,0.998307631757067,254131,0,"not linked"
2.94318959616701,0.998307631757067,254091,0,"not linked"
2.94592744695414,0.998307631757067,253935,0,"not linked"
2.94866529774127,0.998307631757067,253524,0,"not linked"
2.95140314852841,0.998307631757067,253226,0,"not linked"
2.95414099931554,0.99830368553395,252978,1,"not linked"
2.95687885010267,0.998299735563484,252737,1,"not linked"
2.9596167008898,0.998299735563484,252525,0,"not linked"
2.96235455167693,0.998299735563484,252502,0,"not linked"
2.96509240246407,0.998299735563484,252335,0,"not linked"
2.9678302532512,0.998299735563484,251944,0,"not linked"
2.97056810403833,0.998295767096031,251558,1,"not linked"
2.97330595482546,0.998295767096031,251235,0,"not linked"
2.97604380561259,0.998295767096031,250949,0,"not linked"
2.97878165639973,0.998295767096031,250719,0,"not linked"
2.98151950718686,0.998291784681412,250676,1,"not linked"
2.98425735797399,0.998291784681412,250531,0,"not linked"
2.98699520876112,0.998291784681412,250241,0,"not linked"
2.98973305954825,0.998291784681412,249866,0,"not linked"
2.99247091033539,0.998291784681412,249563,0,"not linked"
2.99520876112252,0.998291784681412,249308,0,"not linked"
2.99794661190965,0.998291784681412,249081,0,"not linked"
3.00068446269678,0.998291784681412,249050,0,"not linked"
